2.956,1.653,-0.005,1.814
2.973,1.545,0.139,1.847
2.988,1.348,0.369,1.749
3.004,1.289,0.582,1.541
3.021,1.27,0.561,1.403
3.036,1.362,0.729,1.096
3.052,1.423,0.413,0.935
3.067,1.451,0.331,0.898
3.082,1.458,0.179,0.791
3.098,1.352,0.075,0.698
3.115,1.195,-0.05,0.558
3.13,1.124,-0.033,0.538
3.146,0.948,-0.053,0.431
3.163,0.95,-0.016,0.415
3.178,0.938,0.117,0.385
3.194,0.989,0.117,0.366
3.211,0.891,0.13,0.385
3.226,0.81,0.119,0.427
3.242,0.641,0.095,0.499
3.259,0.589,0.144,0.509
3.275,0.53,0.25,0.565
3.291,0.535,0.238,0.627
3.308,0.493,0.184,0.668
3.324,0.392,0.21,0.673
3.34,0.392,0.21,0.673
3.357,0.382,0.229,0.658
3.373,0.412,0.206,0.563
3.389,0.373,0.217,0.335
3.405,0.319,0.071,0.175
3.42,0.319,0.071,0.175
3.43,0.156,-0.01,0.012
3.445,0.094,0.122,-0.012
3.462,0.027,0.296,0.011
3.478,0.027,0.296,0.011
3.495,0.087,0.274,0.142
3.512,0.014,0.289,0.248
3.528,-0.075,0.282,0.416
3.545,-0.047,0.213,0.524
3.562,-0.019,0.127,0.764
3.578,-0.083,0.283,1.256
3.595,-0.346,0.372,1.453
3.612,-0.473,0.391,1.536
3.628,-0.496,0.383,1.761
3.645,-0.515,0.554,2.294
3.662,-0.675,1.071,2.976
3.678,-0.75,1.607,3.198
3.695,-0.67,1.693,3.015
3.712,-0.401,1.758,1.952
3.728,-1.389,1.512,0.494
3.745,-1.389,1.512,0.494
3.762,0.94,-0.503,-1.055
3.778,1.909,-0.898,-1.485
3.795,1.784,-0.894,-1.647
3.812,0.391,-0.613,-1.698
3.828,-1.01,-0.751,-0.829
3.845,-0.777,-0.606,-0.628
3.862,-0.118,-0.43,-0.53
3.878,0.056,-0.056,-0.168
3.895,-0.337,-0.213,0.064
3.912,-0.711,-0.34,0.798
3.928,-0.859,-0.318,1.167
3.945,-0.859,-0.107,1.443
3.962,-0.559,0.491,2.309
3.978,0.044,0.74,1.858
3.995,0.212,0.505,1.986
4.011,0.441,0.077,1.502
4.027,0.38,-1.541,1.101
4.042,0.38,-1.541,1.101
4.059,0.475,-1.913,1.481
4.076,0.48,-1.826,1.073
4.092,0.165,-1.451,1.197
